sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
C9_36_2023_10_08,169946.0,166.0,126246.5,2501.0,126.0,21317.0,4659.0,3288.0,13817.0,2636.0,11367.0,2240.0,7446.0,3765.0,22965.5,7258.0,1743.0,0.0,13331.5,3060.0,7237.0,128.0,1767.0,140.0,7808.0,22378.0,45396.0,1645.0,1196.0,1093.0,1276.5,1500.0,718.0,12241.0,35883.0,1823.0,4659.0,330.0,165420.5,9719.0,2263.0,9372.0,60269.0,121549.5,6841.0,54529.0,735.0,3760.0,26193.0,74364.5,11409.0,85179.5,543.0,58309.0,35440.5,18617.0,67733.0,3969.0,1345.0,57892.0,11601.0,5719.0,29982.0,42977.0,773.0,102.0,58833.0,29999.0,3818.0,15015.5,11583.0,14260.0,2865.5,5491.0,46842.0,38050.0,21650.5,2355.0,83.0,19492.0,33839.0,1003.0,28915.0,1288.0,13692.0,4942.0,88989.5,44456.0,5135.5,22659.5,25153.0,311305.0,42110.5,36859.0,197913.5,163084.5
D4_17_2023_10_06,254435.0,380.0,208893.5,2932.0,253.0,22111.0,290.0,12722.0,5433.0,7173.0,4250.0,10291.0,3875.5,14123.0,21989.5,50889.0,3094.0,3950.0,34674.0,6499.0,26344.0,830.0,10340.0,816.0,6633.0,37579.0,70018.5,1939.0,992.0,897.5,2280.0,3176.0,393.0,28647.0,52991.0,5768.0,8004.0,822.0,159269.0,16167.0,2334.0,18743.0,98512.0,212241.5,15937.0,72689.0,617.0,4275.0,22874.0,93678.0,7767.0,185013.5,1669.0,137830.0,84856.0,50596.0,76853.5,9227.0,2411.0,111363.0,9447.5,11890.0,42188.0,62040.0,819.0,291.0,34562.5,49409.0,10329.5,31071.5,13129.0,25645.0,2512.5,22121.0,67212.0,59714.0,16067.0,1940.0,177.0,27786.0,14017.0,939.0,56540.0,1106.0,15734.0,12264.0,104621.5,80468.0,7799.0,36757.0,25886.5,457825.0,115273.0,57747.0,363621.5,274124.0
G7_34_2023_10_02,147339.5,186.0,62062.0,1561.0,182.5,8565.0,4637.0,2225.0,4151.0,3163.0,977.0,3583.5,2672.0,6821.0,4345.0,19265.0,807.0,3169.0,5905.5,5407.0,5384.0,107.0,966.0,123.0,2166.0,23601.0,31720.0,1438.0,1044.0,1136.5,1370.0,1580.0,935.0,19887.5,28599.5,1003.0,8411.0,275.0,71400.5,7474.0,2156.0,4633.0,18231.0,53308.5,4907.0,34951.0,557.0,2285.5,14651.0,37116.0,7876.0,24566.0,290.0,23727.0,18656.0,9148.5,23681.0,2206.5,1104.0,15648.0,5331.0,1830.0,16860.0,13754.5,261.0,30.0,39097.0,18958.0,2035.5,4976.5,3721.5,7207.0,806.5,4320.0,22679.0,36420.5,6081.0,1005.0,48.5,12794.0,4164.0,520.0,14778.0,512.0,5765.0,2859.5,28345.0,16779.5,831.0,9910.0,10462.0,155625.0,16519.0,15035.0,153596.0,74988.0
A1_05_2023_06_14,39.0,51045.0,42468.0,20329.0,4066.0,12699.0,92874.5,4685.0,4249.0,47044.0,16823.0,24432.0,27740.5,2.0,41407.0,41082.0,16555.0,0.0,0.0,0.0,0.0,0.0,0.0,11724.0,1187.0,1.0,28643.0,0.0,0.0,0.0,12807.0,0.0,35969.5,7995.0,4413.0,12419.0,9029.0,2150.5,24259.5,2.0,6466.5,42717.5,100788.5,27794.5,38831.0,2978.0,48493.0,8611.5,8574.5,85696.0,71337.0,64091.0,72618.5,75259.0,43044.5,102919.0,6957.0,161.0,5987.5,0.0,60596.5,458.0,9376.5,77.5,6962.0,941.5,6657.0,3665.0,13364.0,7826.0,829.5,10.0,10.0,30705.5,30254.0,98087.0,442.5,0.0,16680.0,1.0,12795.5,71494.0,57874.5,115232.0,114469.5,1094.0,26764.0,11687.0,25718.0,48159.0,27689.0,137725.0,390172.0,151914.0,94175.5,4.0
A2_10_2023_06_15,102.0,126982.0,29441.0,15477.0,1075.0,7221.0,79583.5,4787.0,4700.0,47401.0,9329.0,23464.0,23736.0,0.0,7117.0,16680.0,3253.0,15685.0,15540.0,126.0,444.0,364.0,373.0,15643.0,1108.0,51172.0,50027.5,6667.5,7048.0,7206.0,10719.0,3578.0,40526.0,25199.0,11488.0,23362.0,22462.0,17690.5,18093.5,49402.0,11850.5,84692.5,54302.0,41422.0,18535.5,1582.0,17880.0,2123.0,2156.0,48417.5,31852.0,56958.5,61193.5,43031.5,17612.5,45278.0,15101.5,690.0,36558.0,18848.0,120404.5,1201.0,4763.5,588.5,6013.0,1068.5,10758.0,3428.0,13283.0,6938.0,266.0,8.0,2.0,32492.0,27802.0,131550.0,911.0,1608.0,10052.0,11723.0,4892.5,76152.5,50904.0,47321.5,45958.0,735.0,40334.0,22256.0,22495.0,12192.5,6120.0,64455.0,202115.5,110316.0,21791.0,6.0
A3_16_2023_06_16,170.0,213609.0,84123.0,21368.0,1796.0,10028.0,132907.5,3384.5,2924.0,81071.0,96748.5,27526.0,30069.0,0.0,57056.0,24664.0,29326.0,26647.0,26362.0,1181.0,695.0,539.0,1289.0,14736.0,3975.0,139397.0,160496.0,9042.5,6349.0,6417.0,9681.0,3145.0,19003.5,29309.5,2858.0,8678.0,12412.5,25046.0,54343.5,85382.5,12266.0,122717.5,117530.0,77146.0,40651.5,2480.0,28618.0,2582.5,2492.0,135176.0,79554.0,104909.0,169126.0,139365.5,25730.5,146647.5,20534.0,5281.0,81376.0,68756.5,229932.5,6316.0,7657.0,3488.5,17702.5,6754.0,32062.0,9138.5,36867.0,13780.0,268.0,7.0,7.0,50740.5,34502.0,170608.0,3632.0,3936.0,24132.5,33924.0,17756.5,238299.5,130807.0,167382.0,163957.0,3937.0,124157.0,141307.0,117568.0,41320.5,17277.0,178316.0,433015.5,317793.0,80781.0,8.0
A4_17_2023_06_17,163.0,241676.0,13.0,38427.5,3514.0,112.0,235797.5,4522.0,4388.0,45372.0,125559.5,93433.0,97996.5,0.0,62912.0,35994.0,38007.5,24338.0,23996.5,0.0,0.0,1198.0,558.0,20174.5,5505.0,54349.0,170927.5,4396.0,1614.5,1645.0,16430.0,12125.0,20311.5,36032.5,23252.0,25086.0,46837.5,15909.5,158971.0,50035.5,0.0,104593.5,69516.5,118792.0,42287.0,3303.0,19020.5,1824.0,1713.0,140734.5,77903.0,214463.0,78043.0,129707.0,27209.5,1.0,23232.0,0.0,0.0,2.0,226790.0,0.0,2617.0,3107.0,0.0,9228.0,0.0,19204.0,44760.5,37959.0,739.0,12.0,12.0,44670.5,17525.0,270247.0,0.0,6626.0,37.0,115134.0,6058.5,182923.0,64131.5,149560.5,148541.0,2216.0,47542.0,58295.5,57239.0,2369.0,4807.0,184838.0,464552.0,79550.0,55175.0,19.0
A5_19_2023_06_18,50.0,75309.0,42660.0,10024.5,760.5,8518.0,81127.5,1629.5,1516.0,30475.0,37934.0,32259.0,33066.0,1.0,10504.0,4177.0,5981.0,8708.0,8640.0,1032.0,194.0,282.0,377.0,4201.0,1034.0,42007.0,21427.0,5582.0,4244.0,4503.0,9351.0,3244.0,35861.0,28946.0,6683.0,25274.5,19905.0,26643.5,16.5,54524.5,20871.5,109235.5,56820.5,105763.0,27063.5,8361.0,19411.0,1501.0,1356.0,83298.0,48978.5,31921.5,78244.0,47779.0,19453.0,36106.0,10378.5,445.5,25879.0,9916.5,42065.5,801.0,7087.5,1085.0,8531.0,3099.0,10740.0,8195.0,20146.5,13011.0,398.5,0.0,0.0,26163.5,21193.0,115866.0,295.0,2860.0,16627.0,30955.0,4407.0,90574.5,46861.0,82022.0,80808.5,1664.0,46918.0,45281.0,41515.0,21402.0,15452.0,95376.0,309254.5,150957.0,68392.0,11.0
A6_25_2023_06_19,132.0,215875.0,29603.0,8217.0,163.0,4110.0,10.0,392.0,388.0,16964.0,23519.0,16153.0,16173.5,0.0,12041.0,0.0,3787.0,0.0,0.0,303.0,0.0,229.0,20.0,2.0,605.0,0.0,42252.0,1433.0,975.0,976.0,8462.0,818.0,15463.5,16593.0,930.0,0.0,5670.0,9531.0,0.0,1.0,1957.5,2.0,61870.0,0.0,28595.0,3.0,4216.0,91.0,91.0,50779.5,0.0,39052.0,0.0,50093.5,1689.0,78846.0,3014.0,1550.0,54982.0,28572.0,95521.5,958.0,2139.0,0.0,0.0,1447.5,0.0,1452.0,796.0,797.0,0.0,0.0,0.0,4132.0,0.0,35714.0,0.0,1611.0,7.0,26093.0,0.0,32519.0,0.0,4892.0,4882.0,316.0,23931.0,24942.0,23514.0,7867.0,1712.0,66024.0,237863.0,4348.0,2.0,2.0
B1_05_2023_06_15,20.0,22486.0,43990.0,4691.0,4696.0,90.0,127382.0,5679.0,5684.0,24138.0,0.0,33079.0,33056.5,0.0,16579.0,10267.5,17472.0,22836.0,22560.0,2051.0,0.0,407.0,1484.0,14165.0,2101.0,29369.0,11.0,950.5,5257.0,5779.0,23770.0,14592.0,0.0,34869.0,0.0,54332.0,13014.0,11858.0,11.5,31228.0,8865.5,66975.5,0.0,53064.0,33596.0,4978.0,12126.5,1764.0,1539.0,78443.5,133133.5,0.0,143142.5,30580.5,40882.5,81512.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,360.0,0.0,2480.0,1.0,3936.0,10729.0,10745.0,0.0,0.0,0.0,15710.0,15625.0,57167.5,550.5,634.0,20554.5,47476.0,6138.5,96803.5,36412.5,66527.0,62883.5,2896.0,21106.0,47187.0,55285.0,30189.5,7626.0,109384.0,227892.5,100517.0,44132.0,7.0
