sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
A1_05_2023_03_08,548.0,1142432.0,28576.0,519.0,3.0,487.0,18895.0,17.0,17.0,820.0,8781.0,386.0,395.0,0.0,2425.0,78.0,3552.0,852.0,837.0,9.0,4.0,12.0,3.0,213.0,697.0,57784.0,91598.5,60.0,23.0,23.0,2963.0,101.0,1615.0,3987.0,55.0,52.0,379.0,497.0,109514.5,37336.0,2156.0,7141.5,244589.5,184951.5,22309.0,6.0,264.0,110.0,266.0,188243.0,112576.0,54734.5,3212.5,120847.0,23.0,389758.5,76.0,5282.5,29554.0,13890.5,122012.0,10558.5,40.0,80.0,21.0,290.0,65.0,480.0,556.0,497.0,3.0,0.0,0.0,712.0,41.0,103654.0,5728.5,37.0,36.0,3924.0,37.0,17779.0,554.0,4366.0,4336.0,16.0,4491.0,3364.0,285.0,2271.0,135.0,43167.5,970300.0,5073.0,35425.0,0.0
A2_10_2023_03_09,153.0,159363.5,28470.0,9316.0,1172.0,4976.0,107195.0,2066.5,2052.0,18124.0,18016.5,14145.0,15242.5,0.0,27080.0,6895.0,9709.5,18160.0,17714.0,537.0,459.0,241.0,133.0,11669.0,815.0,40384.0,13960.0,4201.5,3797.0,4068.5,3944.5,1714.0,30936.5,19170.0,8581.0,13549.0,17838.0,12039.5,64587.5,49529.0,20774.5,61492.0,119861.0,47325.5,39493.0,1168.0,24173.0,3642.5,3617.5,77332.5,44687.0,101358.5,46598.0,83576.5,6709.0,56723.0,12305.5,1620.0,23776.5,24869.0,91186.5,2827.5,2213.5,1125.5,3104.0,898.0,7528.0,2224.0,9854.5,5954.5,145.0,12.0,1.0,14560.5,11665.0,103504.0,3137.5,3734.5,10024.0,21880.0,3223.5,71979.5,35316.0,40449.5,39062.5,1124.0,40656.0,21064.5,14836.0,11670.5,17358.0,88553.5,410140.0,131301.5,48010.0,10.0
A3_16_2023_03_10,225.0,310353.5,25371.5,17785.0,260.0,8293.5,81086.5,679.0,603.0,14204.0,37444.5,24901.0,25407.5,0.0,38127.5,9422.5,15711.0,26456.0,26007.0,556.0,176.0,599.0,92.0,4555.0,1098.0,30220.0,36734.5,957.5,1720.0,1722.0,14952.0,38.0,55195.0,8550.5,4993.0,7111.5,24093.0,11856.5,121788.5,55019.5,30665.5,52807.5,199457.0,109769.0,56212.5,805.0,18521.0,1923.0,1866.0,115256.0,85706.0,89704.5,66168.5,104709.0,1728.5,127745.0,6542.5,1696.0,24358.0,18328.5,128498.0,1834.0,1076.0,1777.5,1125.0,1955.0,4966.0,3984.0,10007.5,4645.0,16.0,4.0,1.0,7516.0,5825.5,126913.0,3542.0,5138.0,7773.5,51450.5,3561.5,75360.0,23326.0,51536.0,49787.0,719.0,43414.0,30933.5,25657.5,16174.5,13449.5,93179.5,479767.0,143673.5,84137.0,3.0
A4_17_2023_03_11,296.0,101238.0,23593.5,11931.0,1155.5,8666.0,50171.0,3013.5,2883.5,24291.0,26440.5,18059.0,19637.0,12.0,24996.0,12440.0,12718.0,22271.0,22000.0,1146.0,454.0,256.0,317.0,13322.5,1427.0,19477.0,39341.0,1415.0,7985.0,8250.5,10919.0,1318.0,52360.0,14733.0,13375.5,13770.5,20619.0,6325.5,55422.0,36254.5,13115.0,51711.5,103242.5,51951.5,47463.0,1935.0,27194.0,4470.0,4415.0,86598.5,56680.0,91180.5,58913.0,89731.0,12486.0,65190.5,10668.5,870.0,17467.5,23666.0,90988.0,1446.0,2445.5,241.5,3818.0,526.0,12618.5,3487.5,15247.0,9382.0,501.0,43.0,5.0,20237.5,18488.0,103787.5,1850.0,4526.5,15017.0,35685.0,6079.0,58953.0,36026.0,50277.0,48568.0,2213.5,43631.5,19877.5,25925.5,21709.5,27254.0,90499.5,370697.5,152938.0,71085.0,8.0
A5_19_2023_03_12,152.0,257446.0,32674.0,12562.5,431.0,5912.0,78598.0,680.0,670.0,17055.0,22168.0,16736.0,16932.5,0.0,16176.0,4812.0,11202.0,11677.0,11516.0,301.0,157.0,374.0,89.0,3749.0,1221.0,47763.0,38279.0,3914.5,3797.0,3821.0,5090.0,449.0,32985.5,14973.0,4583.0,11363.5,14564.0,11666.0,53392.5,62808.0,12023.5,45067.0,107208.0,72056.5,39732.0,835.0,24021.0,1610.0,1656.0,74709.0,49591.0,100562.0,44397.0,82060.0,2767.0,52443.0,6880.5,2803.0,39503.5,19201.5,83793.0,5165.5,1078.5,2819.0,1460.5,1770.0,4279.5,3705.0,10385.5,6964.5,21.0,5.0,1.0,13038.5,4198.0,144748.0,3167.0,5912.5,6632.5,37628.5,2567.0,72767.5,28396.0,39531.0,38801.5,773.0,44504.5,28851.0,15262.5,9323.0,11516.0,71439.0,373687.0,112622.5,56421.5,5.0
A6_25_2023_03_13,863.0,1716023.0,12171.0,274.0,4.0,163.0,3675.0,6.0,6.0,386.0,6629.0,10.0,9.0,0.0,1152.0,15.0,2241.0,123.0,119.0,0.0,0.0,1.0,0.0,57.0,335.0,17188.0,99936.5,12.0,7.0,7.0,1972.0,20.0,872.0,817.0,25.0,3.0,159.0,51.0,82139.5,6681.5,1266.5,1564.5,328927.5,59390.0,25627.0,0.0,264.0,37.0,122.0,266489.0,36954.0,31767.0,516.5,72074.0,4.0,412374.5,5.5,4358.5,3552.5,10134.0,15810.5,7640.5,12.0,51.0,0.0,25.0,4.0,204.0,367.0,365.0,0.0,1.0,1.0,310.0,3.0,164555.5,957.5,12.0,1.0,5845.0,3.0,29533.0,89.0,1812.0,1788.0,1.0,2813.0,2623.0,84.0,262.0,66.0,15950.0,1595611.5,915.0,43148.0,0.0
B1_05_2023_03_09,227.0,425849.5,63416.5,6373.0,55.0,2620.0,106028.5,125.0,121.0,6970.0,19045.0,15492.0,15479.0,0.0,5680.0,1013.0,4045.0,6208.0,6069.0,47.0,10.0,24.0,3.0,1132.0,767.0,93198.5,78048.5,1277.0,112.0,112.0,5053.0,317.0,23536.5,12274.5,798.0,1486.5,9639.5,5478.5,93315.0,35449.0,6686.0,26279.0,180069.5,150576.5,47696.5,52.0,5610.5,496.5,567.0,146124.0,111085.0,87189.0,35320.0,148789.5,219.5,160449.0,1044.0,5198.5,138130.0,34572.5,147780.5,8832.0,312.0,517.0,112.0,811.0,746.0,1944.0,3885.5,2619.0,0.0,0.0,0.0,4318.0,479.0,146027.0,4894.0,881.5,344.0,27768.0,142.5,73421.5,3285.0,14635.5,14520.0,99.0,21507.0,16127.5,8081.0,8145.5,1693.0,104496.5,597272.0,94131.0,69774.0,1.0
B2_10_2023_03_10,84.0,140124.5,14928.0,4969.0,470.0,3246.0,34630.5,929.5,893.0,6476.0,15057.5,6645.0,7052.0,0.0,11202.0,3181.0,5631.0,8846.0,8701.0,181.0,78.0,136.0,94.0,3458.5,738.0,6351.0,18889.0,547.5,3126.0,3238.5,2741.0,666.5,24831.5,11766.5,3822.5,8181.5,11901.0,3822.5,35812.0,23040.5,12954.5,26322.5,65890.0,41032.0,19692.5,930.0,7949.5,1472.5,1431.5,39242.0,32176.5,54740.0,27293.0,45189.5,3014.0,38930.5,4891.0,334.0,7992.5,9754.5,44453.5,325.0,723.5,118.0,942.0,310.5,3892.0,866.0,3948.5,2483.5,60.0,7.0,5.0,7066.5,6422.5,38851.0,452.5,797.5,6822.5,10761.0,2522.0,25435.0,19499.0,26852.0,26677.5,754.0,21918.0,11555.5,10702.0,8621.0,8809.0,64225.0,219974.0,87068.5,24922.0,1.0
B3_16_2023_03_11,626.0,1268785.5,27962.0,3205.0,216.0,2065.0,23933.0,570.0,471.0,3425.0,7751.0,4668.0,5275.5,0.0,4265.0,1542.0,3880.0,4188.0,4128.0,327.0,137.0,516.0,165.0,1149.0,869.0,18805.0,15486.5,630.0,837.0,846.0,2263.0,227.5,6582.0,5693.0,1541.0,2240.5,3521.0,3038.0,22183.0,26325.0,5977.0,14902.0,175546.0,233414.0,17230.0,490.0,5264.0,1108.0,1038.0,118486.5,52361.5,34064.0,10724.5,42798.5,1391.5,141435.5,2306.5,2997.0,42106.0,10435.0,126421.0,2537.5,805.0,542.5,1409.5,724.0,2082.0,1202.0,3120.0,1244.0,133.0,1.0,0.0,2933.5,1752.0,38153.0,3674.5,1995.0,1925.0,7564.0,1170.0,15666.0,3211.0,10487.0,10104.5,509.0,7765.0,6110.5,5642.0,6590.0,3433.0,45723.0,1382372.5,15298.0,16557.5,3.0
B4_17_2023_03_12,61.0,118511.0,15377.0,8339.5,738.0,5685.0,55347.5,1761.0,1705.0,13876.0,14649.0,7661.0,8388.5,0.0,13212.0,4174.0,6060.0,9325.5,9135.0,464.0,191.0,192.0,107.0,7887.5,856.0,19039.0,20027.0,1521.0,6889.5,7012.5,3814.0,1047.5,25887.5,8156.0,5770.0,9004.0,13050.0,4103.0,35585.5,27342.5,14789.5,29422.0,72938.0,36431.0,23369.5,951.0,10758.0,2709.5,2816.0,46608.5,29279.0,66133.5,29393.5,45969.0,5948.5,36529.5,7367.5,743.5,12838.5,14233.0,37938.5,1495.5,812.5,516.5,1718.5,626.5,5157.5,2172.0,7281.5,4865.5,124.0,12.0,4.0,10710.5,9262.0,78772.0,919.5,2300.5,7308.5,21404.0,2654.0,41175.5,22113.5,29731.5,28799.5,936.0,31406.5,15717.5,14081.0,9729.0,15009.5,58864.0,278375.0,106459.0,46024.0,5.0
