wastewater_treatment_plant.name,collection_date,target,dilution,assay,gc_per_lww,TotalDroplets,flow,ara_id,population
ARA Werdhoelzli,2023-07-02T00:00:00Z,SARS-N1,2,n1mhv,40487.97938283526,23807,150887,26101,471000
ARA Werdhoelzli,2023-07-02T00:00:00Z,SARS-N1,2,n1mhv,25387.27728570744,25813,150887,26101,471000
ARA Werdhoelzli,2023-07-01T00:00:00Z,SARS-N1,2,n1mhv,80171.78013109809,26464,133081,26101,471000
ARA Werdhoelzli,2023-07-01T00:00:00Z,SARS-N1,2,n1mhv,49569.609904654964,16336,133081,26101,471000
ARA Werdhoelzli,2023-06-30T00:00:00Z,SARS-N1,2,n1mhv,28788.0227582794,26782,175562,26101,471000
ARA Werdhoelzli,2023-06-30T00:00:00Z,SARS-N1,2,n1mhv,27748.73462235728,23617,175562,26101,471000
ARA Werdhoelzli,2023-06-29T00:00:00Z,SARS-N1,2,n1mhv,58549.190298725574,24371,137408,26101,471000
ARA Werdhoelzli,2023-06-29T00:00:00Z,SARS-N1,2,n1mhv,65875.47354915048,25761,137408,26101,471000
CDA Lugano,2023-07-02T00:00:00Z,SARS-N1,3,n1mhv,26032.801532737492,24430,35816,515100,124000
CDA Lugano,2023-07-02T00:00:00Z,SARS-N1,3,n1mhv,30579.80137877264,22689,35816,515100,124000
STEP Aire,2023-07-02T00:00:00Z,SARS-N1,3,n1mhv,66312.83186522555,24421,107284,664301,454000
STEP Aire,2023-07-02T00:00:00Z,SARS-N1,3,n1mhv,49211.39625357672,24677,107284,664301,454000
ARA Chur,2023-07-02T00:00:00Z,SARS-N1,5,n1mhv,61176.756504142235,23629,11123,390101,55000
ARA Chur,2023-07-02T00:00:00Z,SARS-N1,5,n1mhv,67443.5315934808,24292,11123,390101,55000
ARA Altenrhein,2023-07-02T00:00:00Z,SARS-N1,3,n1mhv,12156.61074284634,23777,18698,323700,64000
ARA Altenrhein,2023-07-02T00:00:00Z,SARS-N1,3,n1mhv,22569.78210240712,25616,18698,323700,64000
ARA Sensetal,2023-07-02T00:00:00Z,SARS-N1,3,n1mhv,4606.588160557611,25097,14283,66700,62000
ARA Sensetal,2023-07-02T00:00:00Z,SARS-N1,3,n1mhv,7571.019008148918,22906,14283,66700,62000
CDA Lugano,2023-06-27T00:00:00Z,SARS-N1,3,n1mhv,19145.76863711896,24157,40096,515100,124000
CDA Lugano,2023-06-27T00:00:00Z,SARS-N1,3,n1mhv,17931.89659428191,25792,40096,515100,124000
ARA Werdhoelzli,2023-06-27T00:00:00Z,SARS-N1,3,n1mhv,54318.80315503008,24487,137986,26101,471000
ARA Werdhoelzli,2023-06-27T00:00:00Z,SARS-N1,3,n1mhv,68617.89127430588,24444,137986,26101,471000
STEP Aire,2023-06-27T00:00:00Z,SARS-N1,3,n1mhv,72577.36902757263,26299,128554,664301,454000
STEP Aire,2023-06-27T00:00:00Z,SARS-N1,3,n1mhv,60907.203114958036,22789,128554,664301,454000
ARA Chur,2023-06-27T00:00:00Z,SARS-N1,5,n1mhv,65423.07827982522,26515,11451,390101,55000
ARA Chur,2023-06-27T00:00:00Z,SARS-N1,5,n1mhv,52916.965844029255,25495,11451,390101,55000
ARA Altenrhein,2023-06-27T00:00:00Z,SARS-N1,3,n1mhv,12808.68673293706,27080,15263,323700,64000
ARA Altenrhein,2023-06-27T00:00:00Z,SARS-N1,3,n1mhv,23379.49724806337,24729,15263,323700,64000
ARA Sensetal,2023-06-27T00:00:00Z,SARS-N1,3,n1mhv,37484.51845094886,24681,13061,66700,62000
ARA Sensetal,2023-06-27T00:00:00Z,SARS-N1,3,n1mhv,13439.0208397283,25810,13061,66700,62000
CDA Lugano,2023-06-26T00:00:00Z,SARS-N1,3,n1mhv,19159.253807523542,24140,41587,515100,124000
CDA Lugano,2023-06-26T00:00:00Z,SARS-N1,3,n1mhv,7006.056394018131,24753,41587,515100,124000
ARA Werdhoelzli,2023-06-26T00:00:00Z,SARS-N1,3,n1mhv,62818.48277175309,24858,143721,26101,471000
ARA Werdhoelzli,2023-06-26T00:00:00Z,SARS-N1,3,n1mhv,76628.55944339505,22645,143721,26101,471000
STEP Aire,2023-06-26T00:00:00Z,SARS-N1,3,n1mhv,81397.42614343658,25583,130003,664301,454000
STEP Aire,2023-06-26T00:00:00Z,SARS-N1,3,n1mhv,51994.29169682942,24469,130003,664301,454000
ARA Chur,2023-06-26T00:00:00Z,SARS-N1,5,n1mhv,18256.07132107134,26388,11916,390101,55000
ARA Altenrhein,2023-06-26T00:00:00Z,SARS-N1,3,n1mhv,14312.2175186364,16157,16126,323700,64000
ARA Altenrhein,2023-06-26T00:00:00Z,SARS-N1,3,n1mhv,27258.28708104287,25453,16126,323700,64000
ARA Sensetal,2023-06-26T00:00:00Z,SARS-N1,3,n1mhv,19842.14272293431,26223,16419,66700,62000
ARA Sensetal,2023-06-26T00:00:00Z,SARS-N1,3,n1mhv,11209.82612028762,25785,16419,66700,62000
ARA Chur,2023-06-25T00:00:00Z,SARS-N1,5,n1mhv,15849.81103072222,24315,11196,390101,55000
ARA Chur,2023-06-25T00:00:00Z,SARS-N1,5,n1mhv,30142.97916024755,22376,11196,390101,55000
ARA Altenrhein,2023-06-25T00:00:00Z,SARS-N1,3,n1mhv,35727.46773491089,24276,14353,323700,64000
ARA Altenrhein,2023-06-25T00:00:00Z,SARS-N1,3,n1mhv,42146.16898937387,23324,14353,323700,64000
ARA Sensetal,2023-06-25T00:00:00Z,SARS-N1,3,n1mhv,3047.339970029697,18969,14591,66700,62000
ARA Sensetal,2023-06-25T00:00:00Z,SARS-N1,3,n1mhv,5353.164312777552,21597,14591,66700,62000
ARA Chur,2023-06-24T00:00:00Z,SARS-N1,5,n1mhv,62907.8099623266,22979,11808,390101,55000
ARA Chur,2023-06-24T00:00:00Z,SARS-N1,5,n1mhv,66490.67241433202,24640,11808,390101,55000
ARA Altenrhein,2023-06-24T00:00:00Z,SARS-N1,3,n1mhv,39713.82375944441,18928,14034,323700,64000
ARA Altenrhein,2023-06-24T00:00:00Z,SARS-N1,3,n1mhv,33092.958027666275,26208,14034,323700,64000
ARA Sensetal,2023-06-24T00:00:00Z,SARS-N1,3,n1mhv,5515.334979433591,20962,14426,66700,62000
ARA Sensetal,2023-06-24T00:00:00Z,SARS-N1,3,n1mhv,5253.189280490387,22008,14426,66700,62000
ARA Chur,2023-06-23T00:00:00Z,SARS-N1,5,n1mhv,51903.624531626614,24136,27019,390101,55000
ARA Chur,2023-06-23T00:00:00Z,SARS-N1,5,n1mhv,28925.080993671578,23318,27019,390101,55000
ARA Altenrhein,2023-06-23T00:00:00Z,SARS-N1,3,n1mhv,24891.14828347893,27873,37276,323700,64000
ARA Altenrhein,2023-06-23T00:00:00Z,SARS-N1,3,n1mhv,29443.61040506312,25528,37276,323700,64000
ARA Sensetal,2023-06-23T00:00:00Z,SARS-N1,3,n1mhv,0,22355,15997,66700,62000
ARA Sensetal,2023-06-23T00:00:00Z,SARS-N1,3,n1mhv,5641.013784907894,20495,15997,66700,62000
ARA Chur,2023-06-22T00:00:00Z,SARS-N1,5,n1mhv,108092.0562057036,23186,13603,390101,55000
ARA Chur,2023-06-22T00:00:00Z,SARS-N1,5,n1mhv,56856.24484668826,25424,13603,390101,55000
ARA Altenrhein,2023-06-22T00:00:00Z,SARS-N1,3,n1mhv,48380.69470140501,22710,23640,323700,64000
ARA Altenrhein,2023-06-22T00:00:00Z,SARS-N1,3,n1mhv,70493.76249697336,20512,23640,323700,64000
ARA Sensetal,2023-06-22T00:00:00Z,SARS-N1,3,n1mhv,0,22255,22707,66700,62000
ARA Sensetal,2023-06-22T00:00:00Z,SARS-N1,3,n1mhv,4955.503300052593,23330,22707,66700,62000
ARA Chur,2023-06-21T00:00:00Z,SARS-N1,5,n1mhv,34887.92003206855,24857,12649,390101,55000
ARA Chur,2023-06-21T00:00:00Z,SARS-N1,5,n1mhv,59710.4732995045,25823,12649,390101,55000
ARA Altenrhein,2023-06-21T00:00:00Z,SARS-N1,3,n1mhv,4392.027067540502,26323,14882,323700,64000
ARA Altenrhein,2023-06-21T00:00:00Z,SARS-N1,3,n1mhv,18449.142213857707,25069,14882,323700,64000
ARA Sensetal,2023-06-21T00:00:00Z,SARS-N1,3,n1mhv,10215.785509396721,22635,17495,66700,62000
ARA Sensetal,2023-06-21T00:00:00Z,SARS-N1,3,n1mhv,2363.811651344829,24454,17495,66700,62000
CDA Lugano,2023-06-25T00:00:00Z,SARS-N1,3,n1mhv,13478.19100030735,25735,38343,515100,124000
CDA Lugano,2023-06-25T00:00:00Z,SARS-N1,3,n1mhv,28304.13154058903,22470,38343,515100,124000
ARA Werdhoelzli,2023-06-25T00:00:00Z,SARS-N1,3,n1mhv,51087.66519982885,26035,133198,26101,471000
ARA Werdhoelzli,2023-06-25T00:00:00Z,SARS-N1,3,n1mhv,48157.52024621221,24016,133198,26101,471000
STEP Aire,2023-06-25T00:00:00Z,SARS-N1,3,n1mhv,106167.12985855859,25613,113855,664301,454000
CDA Lugano,2023-06-24T00:00:00Z,SARS-N1,3,n1mhv,24258.63230505833,23833,38982,515100,124000
CDA Lugano,2023-06-24T00:00:00Z,SARS-N1,3,n1mhv,26352.16284897887,24134,38982,515100,124000
ARA Werdhoelzli,2023-06-24T00:00:00Z,SARS-N1,3,n1mhv,67502.07673013776,23991,137120,26101,471000
